period,time,x,y,target,freeKick,rightFoot,leftFoot,head,opportunity,goal
2,535,91,49,1.0,0,0,0,1,1,0
2,657,73,76,1.0,1,0,1,0,1,1
2,1241,91,61,1.0,0,0,0,1,1,0
2,1798,78,51,1.0,0,1,0,0,0,0
2,1871,82,45,1.0,0,0,1,0,0,0
2,2005,84,64,0.0,0,0,1,0,0,0
2,2011,80,55,0.0,0,1,0,0,0,0
2,2686,83,31,1.0,0,0,1,0,1,0
2,2741,66,45,0.0,0,1,0,0,1,0
2,2837,89,31,0.0,0,0,0,1,0,0
2,2977,87,58,0.0,0,0,1,0,0,0
1,177,79,61,0.0,0,1,0,0,1,0
1,370,70,71,1.0,0,1,0,0,0,0
1,743,88,52,1.0,0,1,0,0,1,0
